// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\tavisca_training\performance engineering\class vs struct\ClassVsStruct\ClassVsStruct\bin\Release\netcoreapp2.1\0ae8a0aa-90e3-47a1-8c32-7925efdcbd37
// command took 3.07s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\tavisca_training\performance engineering\class vs struct\ClassVsStruct\ClassVsStruct\bin\Release\netcoreapp2.1\0ae8a0aa-90e3-47a1-8c32-7925efdcbd37
// command took 14.28s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\tavisca_training\performance engineering\class vs struct\ClassVsStruct\ClassVsStruct\bin\Release\netcoreapp2.1\0ae8a0aa-90e3-47a1-8c32-7925efdcbd37
// command took 4.47s and exited with 0
// ***** Done, took 00:00:22 (22.05 sec)   *****
// Found 2 benchmarks:
//   Program.StructBenchmark: DefaultJob
//   Program.ClassBenchmark: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Program.StructBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0ae8a0aa-90e3-47a1-8c32-7925efdcbd37.dll" --benchmarkName "ClassVsStruct.Program.StructBenchmark" --job "Default" --benchmarkId 0 in C:\tavisca_training\performance engineering\class vs struct\ClassVsStruct\ClassVsStruct\bin\Release\netcoreapp2.1\0ae8a0aa-90e3-47a1-8c32-7925efdcbd37\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.12 (CoreCLR 4.6.27817.01, CoreFX 4.6.27818.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadPilot   25: 268435456 op, 607575189.02 ns, 2.2634 ns/op

OverheadWarmup   1: 268435456 op, 501315554.84 ns, 1.8675 ns/op
OverheadWarmup   2: 268435456 op, 498645425.24 ns, 1.8576 ns/op
OverheadWarmup   3: 268435456 op, 536287250.81 ns, 1.9978 ns/op
OverheadWarmup   4: 268435456 op, 502053651.30 ns, 1.8703 ns/op
OverheadWarmup   5: 268435456 op, 506531460.81 ns, 1.8870 ns/op
OverheadWarmup   6: 268435456 op, 503849297.04 ns, 1.8770 ns/op

OverheadActual   1: 268435456 op, 507597397.55 ns, 1.8909 ns/op
OverheadActual   2: 268435456 op, 507357443.27 ns, 1.8901 ns/op
OverheadActual   3: 268435456 op, 543166791.20 ns, 2.0235 ns/op
OverheadActual   4: 268435456 op, 501430426.57 ns, 1.8680 ns/op
OverheadActual   5: 268435456 op, 558624150.27 ns, 2.0810 ns/op
OverheadActual   6: 268435456 op, 521979338.40 ns, 1.9445 ns/op
OverheadActual   7: 268435456 op, 496114600.42 ns, 1.8482 ns/op
OverheadActual   8: 268435456 op, 510604119.56 ns, 1.9021 ns/op
OverheadActual   9: 268435456 op, 511191971.09 ns, 1.9043 ns/op
OverheadActual  10: 268435456 op, 502096317.94 ns, 1.8705 ns/op
OverheadActual  11: 268435456 op, 502230881.97 ns, 1.8710 ns/op
OverheadActual  12: 268435456 op, 488724883.66 ns, 1.8206 ns/op
OverheadActual  13: 268435456 op, 500387828.85 ns, 1.8641 ns/op
OverheadActual  14: 268435456 op, 541667988.60 ns, 2.0179 ns/op
OverheadActual  15: 268435456 op, 535116288.48 ns, 1.9935 ns/op

WorkloadWarmup   1: 268435456 op, 522534369.44 ns, 1.9466 ns/op
WorkloadWarmup   2: 268435456 op, 515430555.66 ns, 1.9201 ns/op
WorkloadWarmup   3: 268435456 op, 517067569.01 ns, 1.9262 ns/op
WorkloadWarmup   4: 268435456 op, 527419517.76 ns, 1.9648 ns/op
WorkloadWarmup   5: 268435456 op, 531929053.76 ns, 1.9816 ns/op
WorkloadWarmup   6: 268435456 op, 520771544.19 ns, 1.9400 ns/op
WorkloadWarmup   7: 268435456 op, 518820912.78 ns, 1.9328 ns/op
WorkloadWarmup   8: 268435456 op, 506718902.31 ns, 1.8877 ns/op
WorkloadWarmup   9: 268435456 op, 502057298.02 ns, 1.8703 ns/op
WorkloadWarmup  10: 268435456 op, 494078271.05 ns, 1.8406 ns/op
WorkloadWarmup  11: 268435456 op, 514182647.51 ns, 1.9155 ns/op
WorkloadWarmup  12: 268435456 op, 512971571.25 ns, 1.9110 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 514649427.88 ns, 1.9172 ns/op
WorkloadActual   2: 268435456 op, 517034748.52 ns, 1.9261 ns/op
WorkloadActual   3: 268435456 op, 511288244.54 ns, 1.9047 ns/op
WorkloadActual   4: 268435456 op, 505541011.21 ns, 1.8833 ns/op
WorkloadActual   5: 268435456 op, 499387168.43 ns, 1.8604 ns/op
WorkloadActual   6: 268435456 op, 498272365.62 ns, 1.8562 ns/op
WorkloadActual   7: 268435456 op, 498553892.53 ns, 1.8573 ns/op
WorkloadActual   8: 268435456 op, 513677576.56 ns, 1.9136 ns/op
WorkloadActual   9: 268435456 op, 504464498.98 ns, 1.8793 ns/op
WorkloadActual  10: 268435456 op, 499997994.30 ns, 1.8626 ns/op
WorkloadActual  11: 268435456 op, 520295647.02 ns, 1.9383 ns/op
WorkloadActual  12: 268435456 op, 585066528.97 ns, 2.1795 ns/op
WorkloadActual  13: 268435456 op, 600723728.38 ns, 2.2379 ns/op
WorkloadActual  14: 268435456 op, 515690202.24 ns, 1.9211 ns/op
WorkloadActual  15: 268435456 op, 514486419.43 ns, 1.9166 ns/op

// AfterActualRun
WorkloadResult   1: 268435456 op, 7052030.33 ns, 0.0263 ns/op
WorkloadResult   2: 268435456 op, 9437350.96 ns, 0.0352 ns/op
WorkloadResult   3: 268435456 op, 3690846.98 ns, 0.0137 ns/op
WorkloadResult   4: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult   5: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult   6: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult   7: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult   8: 268435456 op, 6080179.01 ns, 0.0227 ns/op
WorkloadResult   9: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult  10: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult  11: 268435456 op, 12698249.46 ns, 0.0473 ns/op
WorkloadResult  12: 268435456 op, 8092804.69 ns, 0.0301 ns/op
WorkloadResult  13: 268435456 op, 6889021.87 ns, 0.0257 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 0.0155 ns, StdErr = 0.0046 ns (29.88%); N = 13, StdDev = 0.0167 ns
Min = 0.0000 ns, Q1 = 0.0000 ns, Median = 0.0137 ns, Q3 = 0.0282 ns, Max = 0.0473 ns
IQR = 0.0282 ns, LowerFence = -0.0423 ns, UpperFence = 0.0705 ns
ConfidenceInterval = [-0.0045 ns; 0.0354 ns] (CI 99.9%), Margin = 0.0199 ns (129.01% of Mean)
Skewness = 0.39, Kurtosis = 1.6, MValue = 3

// **************************
// Benchmark: Program.ClassBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0ae8a0aa-90e3-47a1-8c32-7925efdcbd37.dll" --benchmarkName "ClassVsStruct.Program.ClassBenchmark" --job "Default" --benchmarkId 1 in C:\tavisca_training\performance engineering\class vs struct\ClassVsStruct\ClassVsStruct\bin\Release\netcoreapp2.1\0ae8a0aa-90e3-47a1-8c32-7925efdcbd37\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.12 (CoreCLR 4.6.27817.01, CoreFX 4.6.27818.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 355555.36 ns, 355.5554 us/op
WorkloadJitting  1: 1 op, 812854.26 ns, 812.8543 us/op

OverheadJitting  2: 16 op, 358108.07 ns, 22.3818 us/op
WorkloadJitting  2: 16 op, 453287.50 ns, 28.3305 us/op

WorkloadPilot    1: 16 op, 2917.38 ns, 182.3361 ns/op
WorkloadPilot    2: 32 op, 1094.02 ns, 34.1880 ns/op
WorkloadPilot    3: 64 op, 2917.38 ns, 45.5840 ns/op
WorkloadPilot    4: 128 op, 5105.41 ns, 39.8860 ns/op
WorkloadPilot    5: 256 op, 4011.39 ns, 15.6695 ns/op
WorkloadPilot    6: 512 op, 5470.08 ns, 10.6838 ns/op
WorkloadPilot    7: 1024 op, 15680.90 ns, 15.3134 ns/op
WorkloadPilot    8: 2048 op, 19327.62 ns, 9.4373 ns/op
WorkloadPilot    9: 4096 op, 116695.09 ns, 28.4900 ns/op
WorkloadPilot   10: 8192 op, 291373.06 ns, 35.5680 ns/op
WorkloadPilot   11: 16384 op, 360660.77 ns, 22.0130 ns/op
WorkloadPilot   12: 32768 op, 910221.72 ns, 27.7778 ns/op
WorkloadPilot   13: 65536 op, 1479110.30 ns, 22.5694 ns/op
WorkloadPilot   14: 131072 op, 1556785.47 ns, 11.8773 ns/op
WorkloadPilot   15: 262144 op, 2913001.26 ns, 11.1122 ns/op
WorkloadPilot   16: 524288 op, 4973763.66 ns, 9.4867 ns/op
WorkloadPilot   17: 1048576 op, 10428894.58 ns, 9.9458 ns/op
WorkloadPilot   18: 2097152 op, 23749639.43 ns, 11.3247 ns/op
WorkloadPilot   19: 4194304 op, 47213740.56 ns, 11.2566 ns/op
WorkloadPilot   20: 8388608 op, 96904699.13 ns, 11.5519 ns/op
WorkloadPilot   21: 16777216 op, 176500963.28 ns, 10.5203 ns/op
WorkloadPilot   22: 33554432 op, 317102869.28 ns, 9.4504 ns/op
WorkloadPilot   23: 67108864 op, 601239739.49 ns, 8.9592 ns/op

OverheadWarmup   1: 67108864 op, 120213814.58 ns, 1.7913 ns/op
OverheadWarmup   2: 67108864 op, 116793189.67 ns, 1.7404 ns/op
OverheadWarmup   3: 67108864 op, 119690510.03 ns, 1.7835 ns/op
OverheadWarmup   4: 67108864 op, 119492128.37 ns, 1.7806 ns/op
OverheadWarmup   5: 67108864 op, 120016526.94 ns, 1.7884 ns/op
OverheadWarmup   6: 67108864 op, 121130600.41 ns, 1.8050 ns/op
OverheadWarmup   7: 67108864 op, 119289370.65 ns, 1.7776 ns/op

OverheadActual   1: 67108864 op, 120593802.98 ns, 1.7970 ns/op
OverheadActual   2: 67108864 op, 124766381.89 ns, 1.8592 ns/op
OverheadActual   3: 67108864 op, 123735089.01 ns, 1.8438 ns/op
OverheadActual   4: 67108864 op, 118663228.54 ns, 1.7682 ns/op
OverheadActual   5: 67108864 op, 118882761.18 ns, 1.7715 ns/op
OverheadActual   6: 67108864 op, 121321323.95 ns, 1.8078 ns/op
OverheadActual   7: 67108864 op, 121889847.86 ns, 1.8163 ns/op
OverheadActual   8: 67108864 op, 127586756.42 ns, 1.9012 ns/op
OverheadActual   9: 67108864 op, 126875281.03 ns, 1.8906 ns/op
OverheadActual  10: 67108864 op, 136747321.21 ns, 2.0377 ns/op
OverheadActual  11: 67108864 op, 125728022.39 ns, 1.8735 ns/op
OverheadActual  12: 67108864 op, 127567793.47 ns, 1.9009 ns/op
OverheadActual  13: 67108864 op, 120312276.07 ns, 1.7928 ns/op
OverheadActual  14: 67108864 op, 119400595.66 ns, 1.7792 ns/op
OverheadActual  15: 67108864 op, 122139283.62 ns, 1.8200 ns/op

WorkloadWarmup   1: 67108864 op, 619743934.50 ns, 9.2349 ns/op
WorkloadWarmup   2: 67108864 op, 688618107.65 ns, 10.2612 ns/op
WorkloadWarmup   3: 67108864 op, 702034031.94 ns, 10.4611 ns/op
WorkloadWarmup   4: 67108864 op, 602919419.49 ns, 8.9842 ns/op
WorkloadWarmup   5: 67108864 op, 615792346.92 ns, 9.1760 ns/op
WorkloadWarmup   6: 67108864 op, 620516310.14 ns, 9.2464 ns/op
WorkloadWarmup   7: 67108864 op, 675247767.39 ns, 10.0620 ns/op
WorkloadWarmup   8: 67108864 op, 677619595.15 ns, 10.0973 ns/op
WorkloadWarmup   9: 67108864 op, 598673906.14 ns, 8.9209 ns/op

// BeforeActualRun
WorkloadActual   1: 67108864 op, 619752321.96 ns, 9.2350 ns/op
WorkloadActual   2: 67108864 op, 617559912.90 ns, 9.2024 ns/op
WorkloadActual   3: 67108864 op, 626504591.77 ns, 9.3356 ns/op
WorkloadActual   4: 67108864 op, 623169664.82 ns, 9.2860 ns/op
WorkloadActual   5: 67108864 op, 618004448.27 ns, 9.2090 ns/op
WorkloadActual   6: 67108864 op, 618609804.07 ns, 9.2180 ns/op
WorkloadActual   7: 67108864 op, 614313965.96 ns, 9.1540 ns/op
WorkloadActual   8: 67108864 op, 614315789.32 ns, 9.1540 ns/op
WorkloadActual   9: 67108864 op, 622120503.00 ns, 9.2703 ns/op
WorkloadActual  10: 67108864 op, 608999598.50 ns, 9.0748 ns/op
WorkloadActual  11: 67108864 op, 606629958.77 ns, 9.0395 ns/op
WorkloadActual  12: 67108864 op, 614639253.53 ns, 9.1588 ns/op
WorkloadActual  13: 67108864 op, 616024278.41 ns, 9.1795 ns/op
WorkloadActual  14: 67108864 op, 614188883.41 ns, 9.1521 ns/op
WorkloadActual  15: 67108864 op, 610799255.63 ns, 9.1016 ns/op

// AfterActualRun
WorkloadResult   1: 67108864 op, 497613038.34 ns, 7.4150 ns/op
WorkloadResult   2: 67108864 op, 495420629.29 ns, 7.3823 ns/op
WorkloadResult   3: 67108864 op, 504365308.15 ns, 7.5156 ns/op
WorkloadResult   4: 67108864 op, 501030381.20 ns, 7.4659 ns/op
WorkloadResult   5: 67108864 op, 495865164.65 ns, 7.3890 ns/op
WorkloadResult   6: 67108864 op, 496470520.45 ns, 7.3980 ns/op
WorkloadResult   7: 67108864 op, 492174682.34 ns, 7.3340 ns/op
WorkloadResult   8: 67108864 op, 492176505.70 ns, 7.3340 ns/op
WorkloadResult   9: 67108864 op, 499981219.38 ns, 7.4503 ns/op
WorkloadResult  10: 67108864 op, 486860314.88 ns, 7.2548 ns/op
WorkloadResult  11: 67108864 op, 484490675.15 ns, 7.2195 ns/op
WorkloadResult  12: 67108864 op, 492499969.91 ns, 7.3388 ns/op
WorkloadResult  13: 67108864 op, 493884994.80 ns, 7.3595 ns/op
WorkloadResult  14: 67108864 op, 492049599.79 ns, 7.3321 ns/op
WorkloadResult  15: 67108864 op, 488659972.02 ns, 7.2816 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 7.3647 ns, StdErr = 0.0205 ns (0.28%); N = 15, StdDev = 0.0796 ns
Min = 7.2195 ns, Q1 = 7.3321 ns, Median = 7.3595 ns, Q3 = 7.4150 ns, Max = 7.5156 ns
IQR = 0.0829 ns, LowerFence = 7.2078 ns, UpperFence = 7.5394 ns
ConfidenceInterval = [7.2796 ns; 7.4497 ns] (CI 99.9%), Margin = 0.0851 ns (1.15% of Mean)
Skewness = 0.03, Kurtosis = 2.21, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\ClassVsStruct.Program-report.csv
  BenchmarkDotNet.Artifacts\results\ClassVsStruct.Program-report-github.md
  BenchmarkDotNet.Artifacts\results\ClassVsStruct.Program-report.html

// * Detailed results *
Program.StructBenchmark: DefaultJob
Runtime = .NET Core 2.1.12 (CoreCLR 4.6.27817.01, CoreFX 4.6.27818.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 0.0155 ns, StdErr = 0.0046 ns (29.88%); N = 13, StdDev = 0.0167 ns
Min = 0.0000 ns, Q1 = 0.0000 ns, Median = 0.0137 ns, Q3 = 0.0282 ns, Max = 0.0473 ns
IQR = 0.0282 ns, LowerFence = -0.0423 ns, UpperFence = 0.0705 ns
ConfidenceInterval = [-0.0045 ns; 0.0354 ns] (CI 99.9%), Margin = 0.0199 ns (129.01% of Mean)
Skewness = 0.39, Kurtosis = 1.6, MValue = 3
-------------------- Histogram --------------------
[-0.006 ns ; 0.006 ns) | @@@@@@
[ 0.006 ns ; 0.020 ns) | @
[ 0.020 ns ; 0.033 ns) | @@@@
[ 0.033 ns ; 0.047 ns) | @@
---------------------------------------------------

Program.ClassBenchmark: DefaultJob
Runtime = .NET Core 2.1.12 (CoreCLR 4.6.27817.01, CoreFX 4.6.27818.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 7.3647 ns, StdErr = 0.0205 ns (0.28%); N = 15, StdDev = 0.0796 ns
Min = 7.2195 ns, Q1 = 7.3321 ns, Median = 7.3595 ns, Q3 = 7.4150 ns, Max = 7.5156 ns
IQR = 0.0829 ns, LowerFence = 7.2078 ns, UpperFence = 7.5394 ns
ConfidenceInterval = [7.2796 ns; 7.4497 ns] (CI 99.9%), Margin = 0.0851 ns (1.15% of Mean)
Skewness = 0.03, Kurtosis = 2.21, MValue = 2
-------------------- Histogram --------------------
[7.191 ns ; 7.544 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17134.829 (1803/April2018Update/Redstone4)
Intel Core i7-6600U CPU 2.60GHz (Skylake), 1 CPU, 4 logical and 2 physical cores
Frequency=2742189 Hz, Resolution=364.6722 ns, Timer=TSC
.NET Core SDK=2.1.508
  [Host]     : .NET Core 2.1.12 (CoreCLR 4.6.27817.01, CoreFX 4.6.27818.01), 64bit RyuJIT
  DefaultJob : .NET Core 2.1.12 (CoreCLR 4.6.27817.01, CoreFX 4.6.27818.01), 64bit RyuJIT


|          Method |      Mean |     Error |    StdDev |
|---------------- |----------:|----------:|----------:|
| StructBenchmark | 0.0155 ns | 0.0199 ns | 0.0167 ns |
|  ClassBenchmark | 7.3647 ns | 0.0851 ns | 0.0796 ns |

// * Warnings *
ZeroMeasurement
  Program.StructBenchmark: Default -> The method duration is indistinguishable from the empty method duration

// * Hints *
Outliers
  Program.StructBenchmark: Default -> 2 outliers were removed (2.18 ns, 2.24 ns)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:47 (47.66 sec), executed benchmarks: 2

Global total time: 00:01:09 (69.73 sec), executed benchmarks: 2
// * Artifacts cleanup *
